Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_binary_2_argument_sent,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
504.txt,0.606060606061,0.6944,0.535353535354,0.516666666667,0.584905660377,0.652173913043,0.652173913043,0.529411764706,0.769230769231,0.6,0.625,1.0,0.636363636364,0.918367346939,1.0,0.4375,10.5,1.0,0.478260869565,11.0,1.0,0.51724137931,7.5,1.0,0.666666666667,8.0,1.0,0.333333333333,3.5,1.0,0.333333333333,4.0,1.0,0.555555555556,2.5,1.0,0.4,2.0,1.0,0.285714285714,1.0,1.0,0.5,1.0,1.0,0.375,1.5,1.0,1.0,2.0,1.0,0.6,1.5,1.0,0.666666666667,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454545454545,2.5,1.0,0.333333333333,2.0,1.0,3.0,1.0,0,0,0.909437238459,0.762249024178,0,0,0.877449840466,0.833762099868,0,0,0.040404040404,0.030303030303,0.0,0.030303030303,0.010101010101,0.020202020202,0.0606060606061,0.0,0.020202020202,0.020202020202,0.020202020202,0.020202020202,0.0606060606061,0.010101010101,0.0,0.010101010101,0.0505050505051,0.0505050505051,0.030303030303,0.020202020202,0.010101010101,0.010101010101,0.0808080808081,0.020202020202,0.0808080808081,0.030303030303,0.176470588235,0.323232323232,0.323232323232
510.txt,0.469696969697,0.779720930233,0.5,0.693548387097,0.651515151515,0.310606060606,0.534457831325,0.68085106383,0.72972972973,0.586206896552,0.714285714286,0.186046511628,0.469879518072,0.897338403042,0.977099236641,0.188405797101,4.33333333333,1.0,0.376344086022,8.75,1.0,0.0948275862069,1.22222222222,0.666666666667,0.205882352941,2.625,0.875,0.279569892473,2.88888888889,1.0,0.53488372093,5.75,1.0,0.0888888888889,0.444444444444,0.333333333333,0.210526315789,1.0,0.625,0.0322580645161,0.111111111111,0.111111111111,0.0357142857143,0.125,0.125,0.115384615385,0.333333333333,0.333333333333,0.391304347826,1.125,0.75,0.0588235294118,0.111111111111,0.111111111111,0.125,0.25,0.25,0.461538461538,1.33333333333,0.777777777778,0.695652173913,2.0,1.0,0.212121212121,1.55555555556,0.777777777778,0.350877192982,2.5,1.0,0.777777777778,0.555555555556,0,0,0.882261298792,0.923970333229,0,0,0.798133090768,0.877206834965,0,0,0.0530303030303,0.0492424242424,0.00378787878788,0.0265151515152,0.0,0.0378787878788,0.0378787878788,0.0,0.0151515151515,0.0113636363636,0.0340909090909,0.0151515151515,0.0719696969697,0.0265151515152,0.0,0.0265151515152,0.0606060606061,0.0492424242424,0.0227272727273,0.0151515151515,0.00378787878788,0.0,0.0833333333333,0.0189393939394,0.0871212121212,0.0681818181818,0.382978723404,0.261363636364,0.325757575758
1251.txt,0.554347826087,0.815987460815,0.578804347826,0.774509803922,0.741784037559,0.316129032258,0.47679245283,0.733333333333,0.792452830189,0.785714285714,0.8125,0.241379310345,0.635658914729,0.923705722071,0.983606557377,0.136778115502,2.5,0.888888888889,0.203821656051,3.76470588235,0.941176470588,0.0443349753695,0.5,0.444444444444,0.0721649484536,0.823529411765,0.588235294118,0.238461538462,1.72222222222,0.888888888889,0.379032258065,2.76470588235,0.941176470588,0.04,0.222222222222,0.222222222222,0.0842105263158,0.470588235294,0.294117647059,0.0566037735849,0.166666666667,0.166666666667,0.0754716981132,0.235294117647,0.235294117647,0.025641025641,0.0555555555556,0.0555555555556,0.027027027027,0.0588235294118,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.5,0.388888888889,0.44,0.647058823529,0.529411764706,0.108333333333,0.722222222222,0.5,0.147826086957,1.0,0.588235294118,0.388888888889,0.388888888889,0,0,0.841709693984,0.96131997922,0,0,0.740858031038,0.875141195551,0,0,0.0380434782609,0.0326086956522,0.0054347826087,0.0217391304348,0.0,0.0353260869565,0.0244565217391,0.0,0.0190217391304,0.0217391304348,0.0298913043478,0.0,0.054347826087,0.0163043478261,0.00271739130435,0.0135869565217,0.0461956521739,0.0516304347826,0.0190217391304,0.0,0.0054347826087,0.0108695652174,0.0869565217391,0.0054347826087,0.0842391304348,0.0679347826087,0.238095238095,0.236413043478,0.298913043478
921.txt,0.728155339806,0.831111111111,0.563106796117,0.64,0.827586206897,0.622222222222,0.622222222222,0.84,0.764705882353,0.923076923077,1.0,0.555555555556,0.774193548387,1.0,1.0,0.192307692308,3.75,1.0,0.209677419355,4.33333333333,1.0,0.125,1.5,0.75,0.128205128205,1.66666666667,0.666666666667,0.266666666667,2.0,1.0,0.304347826087,2.33333333333,1.0,0.130434782609,0.75,0.25,0.15,1.0,0.333333333333,0.230769230769,0.75,0.75,0.181818181818,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.333333333333,0.333333333333,0.153846153846,1.0,0.25,0.173913043478,1.33333333333,0.333333333333,1.0,0.75,0,0,0.880474695783,0.975917609996,0,0,0.785166590295,0.841586571451,0,0,0.00970873786408,0.00970873786408,0.0,0.0291262135922,0.0,0.00970873786408,0.0291262135922,0.00970873786408,0.0194174757282,0.0,0.0194174757282,0.0,0.0679611650485,0.0388349514563,0.00970873786408,0.0291262135922,0.0194174757282,0.0194174757282,0.00970873786408,0.0,0.00970873786408,0.0194174757282,0.0582524271845,0.0,0.0485436893204,0.0776699029126,0.32,0.155339805825,0.223300970874
706.txt,0.553097345133,0.815706214689,0.610619469027,0.784,0.710144927536,0.340909090909,0.446666666667,0.648648648649,0.85,0.75,0.909090909091,0.571428571429,0.645569620253,0.906666666667,0.96875,0.186602870813,3.25,0.916666666667,0.257731958763,4.54545454545,1.0,0.134328358209,1.5,0.75,0.16,1.81818181818,1.0,0.276315789474,1.75,0.833333333333,0.428571428571,2.72727272727,1.0,0.157142857143,0.916666666667,0.666666666667,0.1875,1.09090909091,0.818181818182,0.0,0.0,0.0,0.0555555555556,0.0909090909091,0.0909090909091,0.194444444444,0.583333333333,0.5,0.194444444444,0.636363636364,0.545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0909090909091,0.0909090909091,0.146666666667,0.916666666667,0.666666666667,0.188405797101,1.18181818182,0.818181818182,1.08333333333,0.0,0,0,0.932557131357,0.983519283856,0,0,0.753068643535,0.896820702272,0,0,0.0265486725664,0.0265486725664,0.0,0.00442477876106,0.00442477876106,0.0309734513274,0.0221238938053,0.0,0.0176991150442,0.0132743362832,0.0132743362832,0.00442477876106,0.0796460176991,0.0132743362832,0.00442477876106,0.00884955752212,0.0353982300885,0.0265486725664,0.0176991150442,0.0,0.00442477876106,0.00442477876106,0.0619469026549,0.0,0.0575221238938,0.0265486725664,0.0810810810811,0.269911504425,0.29203539823
29.txt,0.627906976744,0.784,0.573643410853,0.691358024691,0.756756756757,0.472727272727,0.476666666667,0.774193548387,0.653846153846,0.916666666667,1.0,0.625,0.736842105263,0.9375,0.992125984252,0.2,3.6,0.6,0.34375,5.5,1.0,0.122807017544,1.4,0.6,0.225,2.25,1.0,0.314285714286,2.2,0.6,0.538461538462,3.5,0.75,0.0769230769231,0.4,0.2,0.263157894737,1.25,0.5,0.263157894737,1.0,0.6,0.307692307692,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.2,0.2,0.2,0.25,0.25,0.0967741935484,0.6,0.2,0.260869565217,1.5,0.5,0.4,1.6,0,0,0.780148228317,0.760495013275,0,0,0.686761632671,0.78882570428,0,0,0.015503875969,0.015503875969,0.0,0.046511627907,0.0077519379845,0.0232558139535,0.046511627907,0.0077519379845,0.031007751938,0.0077519379845,0.015503875969,0.0077519379845,0.093023255814,0.015503875969,0.0077519379845,0.0077519379845,0.0387596899225,0.031007751938,0.0232558139535,0.0077519379845,0.0387596899225,0.0,0.077519379845,0.0077519379845,0.077519379845,0.046511627907,0.193548387097,0.217054263566,0.248062015504
869.txt,0.509090909091,0.664262295082,0.481818181818,0.553571428571,0.584905660377,0.456140350877,0.445,0.464285714286,0.785714285714,0.714285714286,0.5,0.428571428571,0.439024390244,0.853211009174,0.925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545,0.0181818181818,0.0,0.0363636363636,0.0272727272727,0.0181818181818,0.0363636363636,0.0,0.0272727272727,0.0454545454545,0.0545454545455,0.0,0.0636363636364,0.0272727272727,0.0272727272727,0.00909090909091,0.0181818181818,0.0454545454545,0.0363636363636,0.0,0.00909090909091,0.00909090909091,0.0727272727273,0.0,0.0545454545455,0.0545454545455,0.214285714286,0.327272727273,0.372727272727
855.txt,0.516233766234,0.767413127413,0.545454545455,0.792452830189,0.75,0.257142857143,0.359340659341,0.691358024691,0.857142857143,0.785714285714,0.692307692308,0.0689655172414,0.527272727273,0.921824104235,0.977124183007,0.203773584906,3.375,1.0,0.293650793651,4.93333333333,1.0,0.0382165605096,0.375,0.3125,0.0794701986755,0.8,0.666666666667,0.435185185185,2.9375,1.0,0.594059405941,4.0,1.0,0.0526315789474,0.25,0.25,0.0945945945946,0.466666666667,0.466666666667,0.0222222222222,0.0625,0.0625,0.0681818181818,0.2,0.2,0.037037037037,0.0625,0.0625,0.04,0.0666666666667,0.0666666666667,0.0,0.0,0.0,0.0909090909091,0.0666666666667,0.0666666666667,0.533333333333,0.5,0.5,0.846153846154,0.733333333333,0.733333333333,0.131868131868,0.75,0.5625,0.206896551724,1.2,0.8,0.375,0.25,0,0,0.936294568117,0.963520629568,0,0,0.824913083979,0.898208114783,0,0,0.0551948051948,0.0551948051948,0.0,0.00974025974026,0.0,0.0714285714286,0.0227272727273,0.00324675324675,0.012987012987,0.012987012987,0.00974025974026,0.00324675324675,0.0584415584416,0.0,0.0,0.0,0.0746753246753,0.0357142857143,0.025974025974,0.00649350649351,0.00324675324675,0.00649350649351,0.0974025974026,0.00649350649351,0.0941558441558,0.0941558441558,0.358024691358,0.233766233766,0.327922077922
114.txt,0.575657894737,0.837254901961,0.641447368421,0.805714285714,0.723076923077,0.330275229358,0.492666666667,0.705882352941,0.727272727273,0.75,0.923076923077,0.444444444444,0.688073394495,0.891089108911,0.960264900662,0.146718146718,2.92307692308,1.0,0.207627118644,4.08333333333,1.0,0.0449438202247,0.615384615385,0.384615384615,0.0807453416149,1.08333333333,0.666666666667,0.360465116279,2.38461538462,1.0,0.46835443038,3.08333333333,1.0,0.0631578947368,0.461538461538,0.307692307692,0.0833333333333,0.583333333333,0.416666666667,0.025,0.0769230769231,0.0769230769231,0.0540540540541,0.166666666667,0.166666666667,0.0263157894737,0.0769230769231,0.0769230769231,0.0857142857143,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0769230769231,0.0769230769231,0.166666666667,0.0833333333333,0.0833333333333,0.07,0.538461538462,0.384615384615,0.0898876404494,0.666666666667,0.5,0.461538461538,0.230769230769,0,0,0.792100496529,0.959337570868,0,0,0.843185948875,0.899886065009,0,0,0.0625,0.0592105263158,0.00328947368421,0.00657894736842,0.0,0.0657894736842,0.00657894736842,0.0,0.0,0.00328947368421,0.00328947368421,0.0,0.0559210526316,0.0131578947368,0.00657894736842,0.00657894736842,0.0690789473684,0.0230263157895,0.0131578947368,0.0,0.00328947368421,0.0,0.0723684210526,0.00328947368421,0.0756578947368,0.0296052631579,0.0882352941176,0.256578947368,0.282894736842
672.txt,0.674796747967,0.80027027027,0.560975609756,0.66265060241,0.797101449275,0.574074074074,0.552,0.740740740741,0.761904761905,0.857142857143,1.0,0.277777777778,0.615384615385,0.950819672131,1.0,0.163265306122,3.2,1.0,0.323529411765,5.5,1.0,0.0967741935484,1.2,0.6,0.186046511628,2.0,0.75,0.263157894737,2.0,1.0,0.5,3.25,1.0,0.0909090909091,0.4,0.4,0.214285714286,0.75,0.5,0.2,0.8,0.6,0.333333333333,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636364,1.4,0.6,0.777777777778,1.75,0.75,0.206896551724,1.2,0.6,0.35,1.75,0.75,0.4,1.2,0,0,0.928516150923,0.997125457254,0,0,0.678980280283,0.784772600157,0,0,0.0325203252033,0.0325203252033,0.0,0.0650406504065,0.0,0.0325203252033,0.0243902439024,0.0,0.0162601626016,0.00813008130081,0.0162601626016,0.00813008130081,0.0894308943089,0.0569105691057,0.00813008130081,0.0487804878049,0.0406504065041,0.0325203252033,0.0162601626016,0.00813008130081,0.0,0.0,0.0487804878049,0.00813008130081,0.0569105691057,0.0894308943089,0.407407407407,0.186991869919,0.268292682927
