filename,np_elaboration,verb_vac_frequency,determiners,vac_frequency,possessives
17834.txt,0.14316328908086476,0.36660689345807845,0.11949910395971902,0.36398432368584366,0.14413081679056344
17836.txt,0.3716491019468858,0.4477931668291952,0.28288912013155576,0.4092599780166851,0.1886116754641901
17837.txt,0.4011238745680966,0.4420566086643232,0.4915097950844888,0.32579460152244794,0.10611994820750718
17838.txt,0.30608899502964004,0.3812839746402044,0.4395725775375543,0.27494074461075885,0.19155666358944645
17839.txt,0.31731967408218636,0.4144656426142345,0.46713747318228427,0.26734766587194786,0.23541227476129287
17840.txt,0.2410731697536012,0.3165634070323759,0.24575566056859077,0.35017852307920294,0.50444764846971
17841.txt,0.34576761393644395,0.5084828246925979,0.4107807711879469,0.34495387522161636,0.15707028887161614
17842.txt,0.3304732140171718,0.5097567831165999,0.36203238979119284,0.3206359846888141,0.13154030163628896
17843.txt,0.2805461708624288,0.5778931610751589,0.20153170148552627,0.3892966368275383,0.17013189694691647
17844.txt,0.1906217059067598,0.6979165531460017,0.2678806188650166,0.22624403242618002,0.0
17845.txt,0.20317907411969854,0.3716799000504012,0.31148246987167216,0.1997856371246879,0.11563008584497568
17846.txt,0.47519173062879433,0.2792375725509314,0.3193866284137462,0.23693166602199575,0.3080470658817622
17847.txt,0.5050779014945446,0.5296921737495499,0.47581546033121347,0.3892926318093845,0.09430511753074484
17849.txt,0.32262956057081305,0.4257583202712603,0.4684787155827489,0.3373717671429873,0.23418181320247466
17850.txt,0.5278798498594929,0.4596842478334554,0.430060206145626,0.41638687124486784,0.08462590345379575
17851.txt,0.2207973318083432,0.4747599865183406,0.3075714833304847,0.3938144139234569,0.16672178060640336
17852.txt,0.29932411434003814,0.40835635692453187,0.45032520851626784,0.4018392539820735,0.11007208040768396
17853.txt,0.8166789427179825,0.1942196967637849,0.5063874351689015,0.32944761075916107,0.0
17854.txt,0.12273665618799426,0.30317463148827634,0.20140059210169117,0.426762149152407,0.3922865466460012
17856.txt,0.30508665037112837,0.5318721159770253,0.5908633032144157,0.3848186356584966,0.2294030849080457
17857.txt,0.3500016842432429,0.5693007343451494,0.4804399590588596,0.2504344868414674,0.0504992845122966
17858.txt,0.34475959834481773,0.5586211164485427,0.48495289480746284,0.44249576397815577,0.03587722786758518
17859.txt,0.5723461904393174,0.531684496060562,0.6573730448962827,0.3407386102153039,0.24528381795903315
17860.txt,0.3704839973279478,0.6057165270733219,0.1129434133822553,0.5014233098606528,0.19870167528538493
17861.txt,0.2863786515528599,0.400197477274456,0.4328720067325251,0.31105980409145356,0.10971039450382321
17862.txt,0.09870600908100058,0.5964671256857172,0.029506060965643288,0.3820136997637746,0.367310713337777
17863.txt,0.31907303115844665,0.4020483074010329,0.2603370520027891,0.22708861092606245,0.20885159362245498
17864.txt,0.3978375625841658,0.6437037733548701,0.4607668842787034,0.46331568999697675,0.296531742194354
17865.txt,0.2229916412142189,0.5289465285251722,0.20492257382650836,0.40748399385458284,0.19900227789955438
17867.txt,0.2812174353252492,0.5154366387162579,0.22064645792016552,0.3636694929943328,0.24488542396960117
17868.txt,0.307354159034131,0.46509792216660506,0.2849879874170788,0.37163293719727286,0.34299101440740076
17869.txt,0.20091985279460828,0.590142636577788,0.24571016488326017,0.3231837397456459,0.05949897595210729
17870.txt,0.7931148642691409,0.46814057207118853,0.46557776144344215,0.20667884347123971,0.1516224533874058
17871.txt,0.4963472154055282,0.3371832308513789,0.6098828328637955,0.4796002081784978,0.1485979980698767
17872.txt,0.2712752488586142,0.40887532764957213,0.42894605369452127,0.18125650158607712,0.2471875905316784
17873.txt,0.29103474798172346,0.4629081486428161,0.28790571082620653,0.35234378735499017,0.2714920861112858
17874.txt,0.34235139583584,0.34017981697419575,0.34502561760918166,0.25014357864146086,0.16906428841750606
17875.txt,0.28786919489844137,0.3179364547695509,0.3505128088170766,0.33848535081631137,0.3127437241647542
17876.txt,0.2354877118968909,0.3510503163922428,0.2941433187594023,0.4185852182836485,0.35374873203119805
17878.txt,0.16467522690760258,0.452227647411091,0.14539540847294924,0.48242436120430926,0.21230094754800252
17879.txt,0.2586582931586807,0.6622410296654789,0.06612502331089593,0.3975732977765372,0.5856227102064322
17880.txt,0.5304527744536296,0.48752307034307313,0.5741476381047705,0.43412277335930655,0.0
17881.txt,0.4942194889802463,0.47014071720594114,0.40636425480354454,0.3215571390221001,0.0
17882.txt,0.22693854757112844,0.49351452287198416,0.22245115169769375,0.3269181614410038,0.0
17883.txt,0.33926942281399036,0.4509474514405215,0.3943286339586422,0.40211188344645554,0.08028851061785644
17884.txt,0.360136506735407,0.3912794485787405,0.17366139855699342,0.3083767975080455,0.35729593155111106
17885.txt,0.4524394993318164,0.5573329582572987,0.4184800081943567,0.2768394974289786,0.0
17886.txt,0.13247044682226117,0.5592173912364635,0.4744576410077931,0.5343769715484664,0.2008253194973142
17887.txt,0.20948442431235847,0.4907049598201298,0.24320750780096767,0.3310076694931461,0.34995952575701555
17888.txt,0.3008853898745876,0.4076638245523494,0.298621335393654,0.2929311926338953,0.3865286026755827
17889.txt,0.2841126044289836,0.4155853809812645,0.5713849418706505,0.41224715915378934,0.0
17890.txt,0.2895597584113202,0.5585726634906714,0.07455441578094979,0.3427811520638794,0.46415352376294994
17891.txt,0.2417622585459237,0.6565976878946541,0.2552365112421227,0.5818144604519228,0.21400641214997362
17892.txt,0.20124808841784964,0.25458723583794407,0.18867270798371744,0.39269879305950706,0.25675811736969806
17893.txt,0.22800636496343635,0.4362995345048661,0.29734359526791043,0.5289875230109554,0.14968012583432944
