filename,lemma_ttr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_binary_fw_sent,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_2_adv_sent,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_binary_2_argument_sent,lda_1_all_sent,word2vec_1_all_sent,basic_connectives,conjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density
17834.txt,0.38053646788213263,0.44625346936626475,0.41255127060909824,0.37000000031499997,0.5016924567786161,0.38461538461538464,0.684210526,0.0,0.571428571,0.46153846200000004,0.3455555553585334,0.7650951202018622,0.31565656527777775,0.09523809523809523,0.9,0.4444444442037037,0.8888888890000001,0.37446808480000005,0.6,0.4615384611923077,0.8888888890000001,0.19047619,0.6,0.6,0.529411765,0.18181818181818182,0.666666667,0.111111111,0.04000000000000001,0.2,0.26666666699999997,0.08888888880000001,0.444444444,0.0,0.0,0.0,0.14285714300000002,0.05,0.428571429,0.333333333,0.41666666700000005,0.10714285713520408,0.4,0.41666666700000005,0.444444444,0.393939394,0.9,0.5,0.8888888890000001,0.9785400790000001,0.8216353718724694,0.11914893731404258,0.07446808592553192,0.31914894,0.0,0.07446808592553192,0.37234042262765954,0.0,0.4340425570110638,0.3606383031015957,0.4680851005319149,0.0,0.06117021366821809,0.12234042663297874,0.0,0.12234042663297874,0.1374795431731084,0.45592704999999994,0.340425536,0.0,0.1985815629314421,0.0,0.2606382972393617,0.1356382987200798,0.3156028344387707,0.3262411334105595
17836.txt,0.3934419589334694,0.33876811435967213,0.49043478292925535,0.5212765962393617,0.3785280067347048,0.6380090498461539,0.611111111,1.0,0.571428571,0.3,0.42769230718867685,0.8466936578931451,0.5028735638888888,0.5,1.0,0.44010416670334196,1.0,0.386206896,1.0,0.28124999996484373,1.0,0.46666666700000003,1.0,1.0,0.28571428600000004,0.36363636363636365,1.0,0.363636364,0.4,1.0,0.25,0.2,1.0,0.0,0.0,0.0,0.25,0.25,0.5,1.0,0.5,0.21428571427040816,1.0,0.5,1.0,0.307692308,1.0,0.375,1.0,0.977730338,0.8553054571309265,0.29166666410000003,0.3645833306354166,0.10416666999999999,0.0,0.21874999978124998,0.21874999978124998,0.2479166640139583,0.0,0.0,0.0,0.27083332872916666,0.35937500098828123,0.11979167014062499,0.0,0.11979167014062499,0.47115384758284024,0.4464285714285714,0.22222221866666664,0.2656249942226563,0.29166666705555555,0.0,0.21874999978124998,0.2656249942226563,0.43263889046287035,0.05324074242078189
17837.txt,0.28547260560031945,0.32578990011914,0.7279891306998795,0.5576923077211537,0.1928351712729186,0.6483516480000002,0.571428571,1.0,0.875,0.19047619,0.40214285739174277,0.8862179487908858,0.3192848013888889,0.23809523809523808,0.5,0.30952380985912703,0.666666667,0.256,0.25,0.2045454547244318,0.333333333,0.325,0.5,0.25,0.2,0.24242424236363636,0.333333333,0.21052631600000002,0.2,0.25,0.25,0.2666666666,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.10714285713520408,0.5,0.4,0.666666667,0.214285714,0.5,0.24,0.666666667,0.7858014170000001,0.7633143565453675,0.3478260847652174,0.43478260656521733,0.2484472,0.0,0.3913043466086956,0.30434782669565213,0.22173912717521735,0.0,0.0,0.13664595986335407,0.08074533991925466,0.3928571418303571,0.0714285697857143,0.13354036973291927,0.0,0.44147156885927447,0.1774622857142857,0.19875776,0.07919254454464288,0.28985507638647345,0.0,0.32608695667391296,0.15838508908928575,0.5527950313507246,0.0
17838.txt,0.2521779546450688,0.29780684690538495,0.6741568472893987,0.4953271032523365,0.17088324711631536,0.46351084800000003,0.695652174,1.0,0.666666667,0.18918918899999998,0.235616438651726,0.7896296289553658,0.23399758472222223,0.11355311357142857,0.7692307690000001,0.2663934422721994,0.916666667,0.1425742576,0.46153846200000004,0.1799999999775,0.666666667,0.255813953,0.7692307690000001,0.46153846200000004,0.222222222,0.12121212127272728,0.583333333,0.046511628,0.030769230800000005,0.153846154,0.162790698,0.11666666660000001,0.41666666700000005,0.0,0.0,0.0,0.071428571,0.0384615385,0.071428571,0.083333333,0.39130434799999997,0.14835164827511774,0.538461538,0.47826087,0.666666667,0.263157895,0.692307692,0.321428571,0.833333333,0.808764567,0.8087942220268504,0.2230088498647788,0.15486725784513272,0.3539823,0.16666666248148151,0.21681415678318583,0.37168141462831855,0.10530974075814162,0.24070796322973453,0.25000000282499996,0.2920354027079646,0.05752212694247787,0.48340707832936947,0.15265486354203542,0.0,0.15265486354203542,0.17154527142839188,0.34766118571428567,0.37758112,0.0564159319256084,0.37168141782890857,0.2522123872997788,0.3097345121902655,0.16924778302682528,0.36755162412361847,0.20353982368731563
17839.txt,0.18451110882399874,0.3242636745174412,0.5789855068131003,0.32000000083999997,0.19301861732604086,0.4965034966153847,0.56,0.666666667,0.5,0.181818182,0.23909090873130912,0.5034965033182713,0.4704301069444445,0.1818181818095238,0.818181818,0.45226537203768874,0.8,0.41846153919999995,0.727272727,0.3820754722022406,0.8,0.38983050799999996,0.818181818,0.454545455,0.375,0.10909090909090909,0.5,0.21739130399999998,0.090909091,0.363636364,0.352941176,0.12,0.5,0.090909091,0.2,0.08571428568979592,0.235294118,0.181818182,0.26666666699999997,0.3,0.545454545,0.11688311677736549,0.545454545,0.5,0.5,0.387096774,0.818181818,0.423076923,0.8,0.91556102,0.859843654279371,0.1445161308531613,0.04516129095483871,0.25806452,0.16200717027686182,0.2709677387290323,0.4516129025483871,0.5374193538483225,0.0,0.14580645416451612,0.42580644657419364,0.0,0.2225806433620968,0.0,0.0,0.0,0.20843672737163582,0.6451612928571429,0.5505376319999999,0.0,0.782795702377061,0.0,0.4290322570709677,0.08225806527701612,0.45935483923793546,0.1318996434969335
17840.txt,0.1675853870525828,0.548599032749745,0.811905457585529,0.28640776785679606,0.12202956624114836,0.245657568,0.630769231,0.8666666670000001,0.606060606,0.15555555599999998,0.14014598542318246,0.7210913501018646,0.2641445125,0.08435374147619047,0.7428571429999999,0.2843750000236979,0.882352941,0.2909090912,0.6571428570000001,0.27115384609110577,0.764705882,0.201550388,0.542857143,0.571428571,0.397727273,0.18716577545454546,0.647058824,0.109375,0.04000000000000001,0.171428571,0.109375,0.04117647060000001,0.176470588,0.0,0.0,0.0,0.032258065,0.0142857145,0.133333333,0.117647059,0.4,0.07346938778046647,0.342857143,0.517241379,0.441176471,0.33898305100000004,0.628571429,0.43103448299999997,0.764705882,0.8601862570000001,0.8417459202238278,0.2955555560906667,0.33055555366944445,0.13888889,0.0,0.3111111076888889,0.174999999825,0.06611111675038892,0.11333332843733335,0.09416666313541665,0.15277777884722224,0.2166666707833333,0.2715277772467014,0.09583332921250001,0.11944445376111108,0.03194444690416666,0.3589743612938856,0.3373015857142857,0.11851851733333335,0.17708333373177082,0.1814814775753086,0.03958333627239581,0.22361111127638889,0.2479166595744792,0.4614814823692839,0.49691357889026067
17841.txt,0.194370491665041,0.3280956006782283,0.7014101067125315,0.40361445879819274,0.15564555179760192,0.5769230769230769,0.653846154,0.7,0.5625,0.185185185,0.30385964892353684,0.7644042228433306,0.45634920694444436,0.21904761904761902,1.0,0.5000000005416667,1.0,0.2346666672,0.7,0.2934782605883152,0.8888888890000001,0.484848485,0.9,0.3,0.25,0.14141414145454545,0.5555555560000001,0.083333333,0.04000000000000001,0.2,0.28571428600000004,0.1333333334,0.444444444,0.1,0.222222222,0.1904761902312925,0.2,0.15,0.23076923100000002,0.333333333,0.736842105,0.2999999999785714,0.8,0.764705882,0.7777777779999999,0.39130434799999997,1.0,0.441860465,1.0,0.935220555,0.8098771257773243,0.3274853784140352,0.32748538167251456,0.11695906,0.14684859700079422,0.24561403275438592,0.28654971071345026,0.0,0.07953216054549708,0.13216373813040933,0.0,0.30409356869590637,0.36988303976717835,0.13450291859649127,0.0,0.13450291859649127,0.34008097147679855,0.2506265642857142,0.06237816533333333,0.1491228006425439,0.2729044830305393,0.08333332977083335,0.24561403625438596,0.1491228006425439,0.27758284734092264,0.4483430784674031
17842.txt,0.3675522859553046,0.20652173824725883,0.44898959025893237,0.5714285712142859,0.3232860517236526,0.6213017747692309,0.6315789470000001,1.0,0.833333333,0.21739130399999998,0.3140425537223149,0.8709872800314181,0.2777777777777778,0.15079365080952378,1.0,0.3194444446099537,1.0,0.1116279072,0.333333333,0.12499999985937499,0.4,0.28301886800000003,1.0,0.333333333,0.133333333,0.07272727272727274,0.4,0.066666667,0.0333333334,0.166666667,0.153846154,0.08000000000000002,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3214285714056122,1.0,0.75,1.0,0.34375,1.0,0.44,1.0,0.930215518,0.7229430329781013,0.13124999968500003,0.1640624998359375,0.3125,0.0,0.1640624998359375,0.328124999671875,0.18593750098546874,0.21249999932,0.35312500088281246,0.515624999484375,0.0,0.49414062635888667,0.1796874994609375,0.0,0.1796874994609375,0.20192307661242603,0.2790178571428571,0.3333333333333333,0.0,0.3645833338194444,0.33398437307958984,0.38281249961718744,0.0,0.41718749961062496,0.39930555537808643
17843.txt,0.0,0.22260869367386005,0.6603462150297322,0.15740740792129632,0.021931663747036423,0.2451282055384616,0.46808510600000003,0.7857142859999999,0.46428571399999996,0.134328358,0.0882352937894118,0.45984784426932823,0.43103448333333333,0.20408163266666665,0.9523809520000001,0.49880095962490006,1.0,0.37446808480000005,0.80952381,0.3639705884545037,0.9,0.34437086100000003,0.9523809520000001,0.80952381,0.433333333,0.2363636363636364,0.9,0.095238095,0.038095238000000003,0.14285714300000002,0.125,0.05,0.15,0.0,0.14285714300000002,0.08571428568979592,0.2,0.11904761900000001,0.36,0.3,0.487179487,0.19387755105758017,0.80952381,0.684210526,1.0,0.41666666700000005,0.857142857,0.532608696,1.0,0.9538941329999999,0.9130178934832501,0.38356164467945214,0.2876712297123288,0.16438356,0.27519025496039234,0.3068493116931506,0.23013698376986302,0.09780821871838356,0.07452054696153423,0.247671231019178,0.09041095790958906,0.10684931389315068,0.2993150720731164,0.22054794233835617,0.058904108882191775,0.18904109343287676,0.3717597492742158,0.41095890714285715,0.20456620799999997,0.10479451889743152,0.2045662082727549,0.1952054763775685,0.29726027420273965,0.20958903779486304,0.3576255727995495,0.2100456599066464
17844.txt,0.32144401175027887,0.2805797101905583,0.6173913036832516,0.5714285712142859,0.23869680879815175,0.4932126695384615,0.727272727,0.8888888890000001,1.0,0.272727273,0.3357142854397142,0.7749927969134663,0.4129129125,0.13095238095238093,1.0,0.41527777745127303,1.0,0.216216216,0.625,0.18750000035156247,0.571428571,0.46153846200000004,1.0,0.125,0.272727273,0.077922078,0.428571429,0.1,0.025,0.125,0.125,0.028571428600000004,0.14285714300000002,0.0,0.125,0.1224489796793003,0.0,0.0,0.0,0.0,0.444444444,0.10714285713520408,0.5,0.625,0.7142857140000001,0.208333333,0.625,0.42105263200000004,0.857142857,0.9450052259999999,0.8776338735773144,0.18666666435200005,0.23333333076666665,0.11111111000000001,0.0,0.15555555384444444,0.38888889161111106,0.0,0.0,0.0,0.1222222208777778,0.4333333285666666,0.3194444478784722,0.0,0.0,0.0,0.3589743612938856,0.5555555571428571,0.2370370346666667,0.42499999330625005,0.10370370280493828,0.0,0.15555555384444444,0.42499999330625005,0.39555555716414814,0.11358024572729769
