filename,av_nsubj_pass_deps,av_pobj_deps,av_ncomp_deps,av_nsubj_deps_NN,av_nsubj_pass_deps_NN,av_pobj_deps_NN,nsubj_stdev,dobj_stdev,ncomp_stdev,nsubj_NN_stdev,dobj_NN_stdev,pobj_NN_stdev,det_all_nominal_deps_struct,amod_all_nominal_deps_struct,prep_all_nominal_deps_struct,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,rcmod_all_nominal_deps_struct,advmod_all_nominal_deps_struct,conj_and_all_nominal_deps_struct,prep_all_nominal_deps_NN_struct,advmod_all_nominal_deps_NN_struct,det_nsubj_deps_struct,poss_nsubj_deps_struct,advmod_nsubj_deps_struct,conj_and_nsubj_deps_struct,det_nsubj_deps_NN_struct,amod_nsubj_deps_NN_struct,poss_nsubj_deps_NN_struct,rcmod_nsubj_deps_NN_struct,conj_and_nsubj_deps_NN_struct,det_dobj_deps_struct,amod_dobj_deps_struct,poss_dobj_deps_struct,conj_and_dobj_deps_struct,det_pobj_deps_struct,amod_pobj_deps_struct,prep_pobj_deps_struct,poss_pobj_deps_struct,advmod_pobj_deps_struct,conj_and_pobj_deps_struct,cl_ndeps_std_dev,advcl_per_cl,conj_per_cl,dobj_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,nsubj_per_cl,nsubjpass_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,advmod_per_cl,modal_per_cl,acad_av_lemma_freq,acad_collexeme_ratio,acad_lemma_ttr,acad_construction_ttr,acad_lemma_construction_ttr,acad_lemma_construction_attested,news_av_lemma_construction_freq,news_av_faith_const_cue,news_collexeme_ratio,news_lemma_construction_attested,mag_collexeme_ratio,fic_collexeme_ratio,all_av_lemma_freq_stdev,all_av_construction_freq_stdev,all_av_lemma_construction_freq_stdev,all_av_approx_collexeme_stdev,all_av_faith_verb_cue_stdev,all_av_faith_const_cue_stdev,acad_av_faith_verb_cue_stdev,acad_av_faith_const_cue_stdev,acad_av_delta_p_verb_cue_stdev,news_av_faith_const_cue_stdev
17834.txt,0.75,0.125,0.111111111111111,0.125,0.75,0.142857143,0.313190527758372,0.307920143787339,0,0.312863545324685,0.1399708424,0.182743471018495,0.166666666,0,0.092592593333333,0.115740741666667,0.240740742425926,0,0,0,0.105769229394231,0,0.105882352115294,0,0,0,0.05,0,0,0,0,0.222222222,0,0,0,0,0,0,0.25,0,0,0.5258737584,0.525252524822773,0.155555555462222,0.42857142844898,0,0.375000001125,0.098765432888889,0.761904761782313,0.194444445805556,0.166666667,0.194444445805556,0,0,0,0.222222222,0.206349206319728,0.222637883869583,0.346153846153846,0.588235294,0.941176471,1,0.833333333,0.101393953154231,0.173443768030299,0,0.833333333,0,0,0.723940798228821,0.530216395246058,0.485684122596982,0.029441089923008,0.372815854899205,0.143967519211557,0.324385571026678,0.102989754210681,0.264042057469491,0.167482445273858
17836.txt,0,0.5,0.259259259222222,0.3,0,0.266666666666667,0.378695601960943,0.200000000092376,0.419502136568677,0.38172540621631,0.2828427124,0.361813613390739,0.344827586,0.0862068975,0.229885056666667,0.143678160416667,0,0.459770114666667,0.50574712416092,0.206896551206897,0.124999998625,0,0.14999999928,0.166666666,0.333333332,0,0.1,0,0.2,0.6,0,0.5,0,0.166666666666667,0,0.1,0.1,0.4,0,0.149999999925,0.2,0.3799988064,0,0.133333333053333,0.163265305667638,0,0.107142858107143,0.253968254222222,0.44897959187172,0,0.238095238,0.333333332166667,0,0,0.247619046752381,0.19047619,0.088435374932945,0.271217499054959,0.096153846153846,0.473684211,0.9,0.857142857,0.666666667,0.242525489319309,0.165908435976109,0.053571428571429,0.714285714,0.055555555555556,0.040322580645161,0.866600233972153,0.599881117852972,0.785685211645634,0.217972802231702,0.176093179201969,0.484187419826333,0.205280132103058,0.378060316226127,0.042289847531331,0.392708187608623
17837.txt,0,0.444444444333333,0.388888888888889,0.28125,0,0.407407407333333,0.275078392898266,0.62063289109733,0.333711906205248,0.255519429041916,0.5878775384,0.380501175710468,0.488888888,0.1666666675,0.222222223333333,0.092592591666667,0,0.059259258666667,0.081481480585185,0.066666666066667,0.229166665520833,0.083333334,0.266666666186667,0.074074074,0,0,0.25,0.125,0.125,0,0,0.333333333,0.2499999998125,0,0,0.444444444,0,0.222222222,0.111111111,0,0,0.4816637832,0.393939394798898,0.140000000056,0.171428571379592,0,0.29999999955,0.177777777777778,0.714285713795918,0.116666665383333,0.166666667,0,0,0,0.086666665713333,0.133333333,0.185714285873469,0.258178795060584,0.064102564115385,0.533333333,0.857142857,1,0.866666667,0.100083436364653,0.121745653097406,0.071428571428572,0.866666667,0.052910052925926,0.075268817193548,0.796343944667158,0.452889531705714,0.515441507021181,0.028209189324372,0.175718401880775,0.129011399445281,0.137629012029569,0.034215730630242,0.118691240068967,0.202813032193748
17838.txt,0,0.280701754333333,0.133333333333333,0.159090909,0,0.291666666666667,0.189473186872214,0.360739980491722,0.259447742916207,0.210413659212935,0.3023715784,0.288264793070207,0.457142858,0.1428571425,0.285714286666667,0.178571429166667,0.123809525542857,0.076190477333333,0,0,0.282051282967949,0,0.051428572158857,0.171428572,0,0,0.0454545455,0.181818182,0.272727273,0,0,0.3,0.07500000001875,0.133333333333333,0,0.526315789,0,0.52631579,0,0,0,0.5209161188,0.192949907125991,0.20000000028,0.174927113950021,0,0.367346938867347,0.253968254222222,0.594752186401499,0.071428570428572,0.265306122,0,0.156462586963719,0,0.159183673840816,0.265306122,0.07580175020783,0.193852334213298,0.173076923076923,0.652173913,0.863636364,0.933333333,0.612244898,0.129751129125061,0.154682409227145,0.226190476178571,0.734693878,0.123456790111111,0.268817204290323,0.717600410610701,0.416002791241999,0.520303198457382,0.027215332194433,0.417115170491838,0.132032080117822,0.360888873374135,0.059119248066694,0.308154498246335,0.203024791376933
17839.txt,0,0.3125,0,0.25,0,0.270833333333333,0.204978369387694,0.461880215450068,0,0.207019667812276,0.4,0.268161353027459,0.363636364,0.0568181825,0.075757576666667,0.236742425,0.098484849568182,0.060606061333333,0,0,0.10999999989,0,0.078260869737391,0.260869566,0,0,0.1,0,0.6,0.2,0,1,0.37500000009375,0,0,0.3125,0,0,0.125,0,0,0.467730812,0.457478005719541,0.045161291018065,0.055299539127057,0,0.290322580790323,0.114695340444444,0.60829493039763,0.112903227387097,0.419354839,0,0,0,0.587096774612903,0.548387097,0.239631336491113,0.287203103546977,0,0.451612903,0.851851852,0.8,0.64516129,0.08741210805959,0.222985967687666,0,0.741935484,0.518518518518518,0.225806451612903,0.827027675603228,0.353756303409258,0.368001322561346,0.020461492772699,0.324025516580318,0.111688698120586,0.276231670396701,0.095173404777453,0.197406473717905,0.117416687506373
17840.txt,0,0.283333333333333,0,0.141025641,0,0.245614035,0.321587814889056,0.426874949468284,0,0.235853391204687,0.3869781208,0.234840022739302,0.304761904,0.095238095,0.19047619,0.45634920625,0,0.025396826666667,0.139682539193651,0.114285714114286,0.103124999896875,0.05,0.14999999928,0.333333334,0.066666668,0.266666668,0.064102564,0.076923077,0.256410256,0.025641026,0.102564103,0.166666667,0,0.194444444666667,0,0.35,0.05,0,0.3,0,0,0.4109440692,0.176390774213889,0.208955223483582,0.294243070201645,0.09328358125,0.167910448667911,0,0.767590618066403,0,0.179104478,0,0,0.059701492,0.077611939522388,0.23880597,0.138592751261651,0.141050129427888,0.083916083923077,0.575757576,0.758064516,0.916666667,0.71641791,0.080109537394747,0.108433341156927,0.066666666678572,0.791044776,0.07936507937037,0.073732718903226,0.633855104721758,0.496983366626035,0.494533939505801,0.331607390623254,0.271823018191412,0.34106751067755,0.173977241423881,0.307849458386299,0.207909842907157,0.303253667577628
17841.txt,0,0.484848485,0.222222222222222,0.0625,0,0.454545454666667,0.084553494812615,0.808122036017374,0.521749194721579,0.141736677427839,0.9428090416,0.394362984625211,0.4,0.2777777775,0.222222223333333,0.138888889583333,0.096296295237037,0.118518517333333,0,0.066666666066667,0.374999998625,0,0,0.086956522,0,0,0,0,0.25,0,0,0.142857143,0.214285714553571,0,0,0.636363636,0.181818182,0.181818182,0.181818182,0,0,0.4704607672,0.236363636406612,0.093333333837333,0.199999999657143,0,0.1500000009,0.296296296888889,0.57142857155102,0,0.233333333,0,0.127777776606481,0,0.51999999948,0.333333333,0.123809524534694,0.327175630455378,0.288461538461538,0.566666667,0.925925926,0.916666667,0.8,0.223469457926595,0.202508930272034,0.25,0.766666667,0.555555555555556,0.139784946225806,0.873694000716826,0.554546535936972,0.721806930094953,0.035727827527837,0.591773269524421,0.147546938608335,0.477482264719111,0.141169563816952,0.430619888739569,0.135425503507771
17842.txt,0,0.277777777666667,0.288888888888889,0.14285714275,0,0.333333333333333,0.211571550149154,0.486864495483952,0.108989852271221,0.238435131537793,0.4079215612,0.233549683196808,0.4,0.25,0.083333333333333,0.15625,0.21666666645,0.2,0.091666666575,0.075000000075,0,0.09090909,0.19999999964,0,0,0,0.142857143,0.142857143,0,0,0,0.333333333,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0.333333334,0.4853406592,0.689393940307162,0.116666666246667,0.321428571336735,0.26041666875,0.375000001125,0.370370369777778,0.642857142673469,0.145833334354167,0.208333333,0,0.479166667065972,0,0.108333334091667,0.208333333,0.15476190427551,0.352331276124755,0.057692307692308,0.476190476,0.8,0.823529412,0.708333333,0.267462772935456,0.291631100611206,0.142857142857143,0.791666667,0.074074074074074,0.096774193548387,0.887411141239094,0.479228706179678,0.796360754275123,0.136337301621202,0.532332725380565,0.404823204414064,0.575797701400614,0.398445087663473,0.587347758554285,0.407123907341188
17843.txt,0,0.345238095333333,0.161111111111111,0.16666666675,0,0.25,0.151235424917678,0.518459255968181,0.179019495570587,0.218217890366808,0.4489988864,0.402407527466334,0.1875,0.15625,0.3125,0.146484375,0.13541666653125,0.166666666666667,0.257812499742187,0.09375000009375,0.376712327373288,0.191780822,0.030000000576,0.066666666,0,0,0.0555555555,0.111111111,0.222222222,0,0,0.25,0.112500000028125,0.133333333333333,0,0.178571429,0.107142857,0.285714286,0.071428571,0.107142856446429,0,0.4150633096,0.067532468557733,0.180000000672,0.23265306079067,0,0.192857143692857,0.584126984888889,0.710204081797084,0,0.157142857,0,0,0.114285716,0.074285715325714,0.171428571,0.477551020552187,0.400653950817403,0.358974358961538,0.314285714,0.590909091,0.704918033,0.871428571,0.28533247367227,0.1726920757665,0.267857142857143,0.9,0.222222222222222,0.166666666677419,0.925985105401856,0.537670135569369,0.800748566292269,0.030609190952216,0.510965173323431,0.227419791145374,0.43318023018794,0.088058530802379,0.410837885469361,0.239863150068543
17844.txt,0,0.083333333333333,0.138888888888889,0.16666666675,0,0.095238095333333,0.171923995611047,0,0.28900298839101,0.154303350045842,0,0.166821202125174,0.357142858,0.089285715,0.357142856666667,0,0,0.095238096,0.130952381869048,0,0.485294116514706,0.117647058,0.22499999982,0,0,0,0.1666666665,0.166666667,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0.3828524048,0.11255411347501,0.066666667226667,0,0,0.107142858107143,0.423280423111111,0.65306122438484,0,0.142857143,0.166666667833333,0,0,0.247619046752381,0.047619048,0.176870748008746,0.621861140365478,0.096153846153846,0.35,0.722222222,0.764705882,0.80952381,0.235509839353997,0.209980003966918,0.107142857142857,0.857142857,0.092592592592593,0.096774193548387,0.922247850495623,0.406297751147162,0.715225202562746,0.216876094398511,0.596980473526294,0.122210253194142,0.381453421614098,0.062670334544371,0.363430842353473,0.10771473105714
