filename,error_count,grammar,misspelling,A_INFINITVE,BEEN_PART_AGREEMENT,CONFUSION_OF_OUR_OUT,EN_A_VS_AN,EN_CONTRACTION_SPELLING,NON3PRS_VERB,NOW,SENTENCE_FRAGMENT,SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA
17834.txt,0.339285714285714,0,0.071428571428572,0,0,0,0,0,0,0,0,0
17836.txt,0.178571428571429,0.142857142857143,0.285714285714286,1,0,0,0,0,0,0,0,0.333333333333333
17837.txt,0.232142857142857,0,0.214285714285714,0,0,0,0,0.2,0,0,0,0
17838.txt,0.053571428571429,0.142857142857143,0.035714285714286,0,0,0,0,0,0,0,0,0
17839.txt,0.035714285714286,0.142857142857143,0.035714285714286,0,0,0,0,0,0,0,0,0
17840.txt,0.017857142857143,0,0.035714285714286,0,0,0,0,0,0,0,0,0
17841.txt,0.107142857142857,0.285714285714286,0.107142857142857,0,0,0,0,0,0,0,0,0
17842.txt,0.107142857142857,0,0.214285714285714,0,0,0,0,0,0,0,0,0
17843.txt,0.660714285714286,0,0.142857142857143,0,0,0,0,0,0,0,0,0
17844.txt,0.035714285714286,0,0.035714285714286,0,0,0,0,0,0,0,0,0
17845.txt,0.107142857142857,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0.2,0
17846.txt,0.142857142857143,0,0.178571428571429,0,0,0,0,0.2,0,0,0,0
17847.txt,0.160714285714286,0,0.285714285714286,0,0,0,0,0,0,0,0,0
17849.txt,0.035714285714286,0,0.071428571428572,0,0,0,0,0,0,0,0,0
17850.txt,0.125,0,0.214285714285714,0,0,0,0.333333333333333,0,0,0,0,0
17851.txt,0.142857142857143,0,0.25,0,0,0,0,0.2,0,0,0,0
17852.txt,0.25,0.285714285714286,0.357142857142857,1,0,0,0,0.2,0,0,0,0
17853.txt,0.25,0.142857142857143,0.428571428571429,0,0,0,0,0,0,0,0.2,0
17854.txt,0.053571428571429,0.142857142857143,0.071428571428572,0,0,0,0,0,0,0,0.2,0
17856.txt,0.089285714285714,0,0.178571428571429,0,0,0,0.333333333333333,0,0,0,0,0
17857.txt,0.053571428571429,0.142857142857143,0,0,0,0,0,0,0,0,0.2,0.333333333333333
17858.txt,0.071428571428572,0.428571428571429,0.035714285714286,0,0,0,0,0,0,0,0.6,0
17859.txt,0.107142857142857,0.285714285714286,0.142857142857143,0,0,0,0,0.4,0,0,0,0
17860.txt,0.178571428571429,0.142857142857143,0.285714285714286,0,0,0,0,0.4,0,0,0,0
17861.txt,0.071428571428572,0.142857142857143,0.071428571428572,0,0,0,0,0,0,0,0,0
17862.txt,0.25,0.142857142857143,0.428571428571429,0,0,0,0,0.2,0,0,0,0
17863.txt,0.125,0.285714285714286,0.178571428571429,0,0,0,0.666666666666667,0,0,0,0,0
17864.txt,0.160714285714286,0.142857142857143,0.214285714285714,0,0,0,0,0,0,0,0,0
17865.txt,0.107142857142857,0.142857142857143,0.142857142857143,0,0,0,0,0.2,0,0,0.2,0
17867.txt,0,0,0,0,0,0,0,0,0,0,0,0
17868.txt,0.071428571428572,0.142857142857143,0.107142857142857,0,0,0,0,0.2,0,0,0.2,0
17869.txt,0.125,0.285714285714286,0.142857142857143,0,0,0,0,0.4,0,0,0.2,0
17870.txt,0.178571428571429,0,0.214285714285714,0,0,0,0,0,0,0,0,0
